ObjectName,id,displayName,requiredCosts,maxLevel,requiredMarketLevel,targetDish,requiredIngredients
CarrotSalad,carrot_salad,당근 샐러드,"{""value"":[4,8,16,32,64]}",5,"{""value"":[0,2,2,3,3]}",CarrotSalad,"{""value"":[{""requiredGroceries"":[{""grocery"":1,""amount"":2}]},{""requiredGroceries"":[{""grocery"":1,""amount"":4}]},{""requiredGroceries"":[{""grocery"":1,""amount"":8}]},{""requiredGroceries"":[{""grocery"":1,""amount"":16}]},{""requiredGroceries"":[{""grocery"":1,""amount"":32}]}]}"
ChickenPorridge,chicken_porridge,닭죽,"{""value"":[4,8,16,32,64]}",5,"{""value"":[1,2,2,3,3]}",ChickenPorridge,"{""value"":[{""requiredGroceries"":[{""grocery"":0,""amount"":1},{""grocery"":1,""amount"":1},{""grocery"":2,""amount"":1}]},{""requiredGroceries"":[{""grocery"":0,""amount"":2},{""grocery"":1,""amount"":2},{""grocery"":2,""amount"":2}]},{""requiredGroceries"":[{""grocery"":0,""amount"":4},{""grocery"":1,""amount"":4},{""grocery"":2,""amount"":4}]},{""requiredGroceries"":[{""grocery"":0,""amount"":8},{""grocery"":1,""amount"":8},{""grocery"":2,""amount"":8}]},{""requiredGroceries"":[{""grocery"":0,""amount"":16},{""grocery"":1,""amount"":16},{""grocery"":2,""amount"":16}]}]}"
Croquette,croquette,고로케,"{""value"":[4,8,16,32,64]}",5,"{""value"":[4,4,4,4,4]}",Croquette,"{""value"":[{""requiredGroceries"":[{""grocery"":1,""amount"":2},{""grocery"":6,""amount"":2},{""grocery"":9,""amount"":1}]},{""requiredGroceries"":[{""grocery"":1,""amount"":4},{""grocery"":6,""amount"":4},{""grocery"":9,""amount"":2}]},{""requiredGroceries"":[{""grocery"":1,""amount"":8},{""grocery"":6,""amount"":8},{""grocery"":9,""amount"":4}]},{""requiredGroceries"":[{""grocery"":1,""amount"":16},{""grocery"":6,""amount"":16},{""grocery"":9,""amount"":8}]},{""requiredGroceries"":[{""grocery"":1,""amount"":32},{""grocery"":6,""amount"":32},{""grocery"":9,""amount"":16}]}]}"
FriedChicken,fried_chicken,후라이드 치킨,"{""value"":[4,8,16,32,64]}",5,"{""value"":[2,2,2,3,3]}",FriedChicken,"{""value"":[{""requiredGroceries"":[{""grocery"":2,""amount"":2},{""grocery"":3,""amount"":1}]},{""requiredGroceries"":[{""grocery"":2,""amount"":4},{""grocery"":3,""amount"":2}]},{""requiredGroceries"":[{""grocery"":2,""amount"":8},{""grocery"":3,""amount"":4}]},{""requiredGroceries"":[{""grocery"":2,""amount"":16},{""grocery"":3,""amount"":8}]},{""requiredGroceries"":[{""grocery"":2,""amount"":32},{""grocery"":3,""amount"":16}]}]}"
Hamburger,hamburger,햄버거,"{""value"":[4,8,16,32,64]}",5,"{""value"":[4,4,4,4,4]}",Hamburger,"{""value"":[{""requiredGroceries"":[{""grocery"":3,""amount"":2},{""grocery"":5,""amount"":2},{""grocery"":7,""amount"":1},{""grocery"":10,""amount"":1}]},{""requiredGroceries"":[{""grocery"":3,""amount"":4},{""grocery"":5,""amount"":4},{""grocery"":7,""amount"":2},{""grocery"":10,""amount"":2}]},{""requiredGroceries"":[{""grocery"":3,""amount"":8},{""grocery"":5,""amount"":8},{""grocery"":7,""amount"":4},{""grocery"":10,""amount"":4}]},{""requiredGroceries"":[{""grocery"":3,""amount"":16},{""grocery"":5,""amount"":16},{""grocery"":7,""amount"":8},{""grocery"":10,""amount"":8}]},{""requiredGroceries"":[{""grocery"":3,""amount"":32},{""grocery"":5,""amount"":32},{""grocery"":7,""amount"":16},{""grocery"":10,""amount"":16}]}]}"
LambPie,lamb_pie,양고기 파이,"{""value"":[4,8,16,32,64]}",5,"{""value"":[3,3,3,3,3]}",LambPie,"{""value"":[{""requiredGroceries"":[{""grocery"":3,""amount"":2},{""grocery"":6,""amount"":1},{""grocery"":8,""amount"":1}]},{""requiredGroceries"":[{""grocery"":3,""amount"":4},{""grocery"":6,""amount"":2},{""grocery"":8,""amount"":2}]},{""requiredGroceries"":[{""grocery"":3,""amount"":8},{""grocery"":6,""amount"":4},{""grocery"":8,""amount"":4}]},{""requiredGroceries"":[{""grocery"":3,""amount"":16},{""grocery"":6,""amount"":8},{""grocery"":8,""amount"":8}]},{""requiredGroceries"":[{""grocery"":3,""amount"":32},{""grocery"":6,""amount"":16},{""grocery"":8,""amount"":16}]}]}"
LambSoup,lamb_soup,양고기 스프,"{""value"":[4,8,16,32,64]}",5,"{""value"":[3,3,3,3,3]}",LambSoup,"{""value"":[{""requiredGroceries"":[{""grocery"":4,""amount"":1},{""grocery"":6,""amount"":1},{""grocery"":7,""amount"":1},{""grocery"":8,""amount"":1}]},{""requiredGroceries"":[{""grocery"":4,""amount"":2},{""grocery"":6,""amount"":2},{""grocery"":7,""amount"":2},{""grocery"":8,""amount"":2}]},{""requiredGroceries"":[{""grocery"":4,""amount"":4},{""grocery"":6,""amount"":4},{""grocery"":7,""amount"":4},{""grocery"":8,""amount"":4}]},{""requiredGroceries"":[{""grocery"":4,""amount"":8},{""grocery"":6,""amount"":8},{""grocery"":7,""amount"":8},{""grocery"":8,""amount"":8}]},{""requiredGroceries"":[{""grocery"":4,""amount"":16},{""grocery"":6,""amount"":16},{""grocery"":7,""amount"":16},{""grocery"":8,""amount"":16}]}]}"
MeatCurry,meat_curry,소고기 카레,"{""value"":[4,8,16,32,64]}",5,"{""value"":[2,2,2,3,3]}",MeatCurry,"{""value"":[{""requiredGroceries"":[{""grocery"":0,""amount"":2},{""grocery"":4,""amount"":1},{""grocery"":5,""amount"":1}]},{""requiredGroceries"":[{""grocery"":0,""amount"":4},{""grocery"":4,""amount"":2},{""grocery"":5,""amount"":2}]},{""requiredGroceries"":[{""grocery"":0,""amount"":8},{""grocery"":4,""amount"":4},{""grocery"":5,""amount"":4}]},{""requiredGroceries"":[{""grocery"":0,""amount"":16},{""grocery"":4,""amount"":8},{""grocery"":5,""amount"":8}]},{""requiredGroceries"":[{""grocery"":0,""amount"":32},{""grocery"":4,""amount"":16},{""grocery"":5,""amount"":16}]}]}"
Meatloaf,meatloaf,미트로프,"{""value"":[4,8,16,32,64]}",5,"{""value"":[2,2,2,3,3]}",Meatloaf,"{""value"":[{""requiredGroceries"":[{""grocery"":1,""amount"":2},{""grocery"":3,""amount"":2},{""grocery"":5,""amount"":1}]},{""requiredGroceries"":[{""grocery"":1,""amount"":4},{""grocery"":3,""amount"":4},{""grocery"":5,""amount"":2}]},{""requiredGroceries"":[{""grocery"":1,""amount"":8},{""grocery"":3,""amount"":8},{""grocery"":5,""amount"":4}]},{""requiredGroceries"":[{""grocery"":1,""amount"":16},{""grocery"":3,""amount"":16},{""grocery"":5,""amount"":8}]},{""requiredGroceries"":[{""grocery"":1,""amount"":32},{""grocery"":3,""amount"":32},{""grocery"":5,""amount"":16}]}]}"
OnionBagel,onion_bagel,양파 베이글,"{""value"":[4,8,16,32,64]}",5,"{""value"":[2,2,2,3,3]}",OnionBagel,"{""value"":[{""requiredGroceries"":[{""grocery"":3,""amount"":2},{""grocery"":4,""amount"":1}]},{""requiredGroceries"":[{""grocery"":3,""amount"":4},{""grocery"":4,""amount"":2}]},{""requiredGroceries"":[{""grocery"":3,""amount"":8},{""grocery"":4,""amount"":4}]},{""requiredGroceries"":[{""grocery"":3,""amount"":16},{""grocery"":4,""amount"":8}]},{""requiredGroceries"":[{""grocery"":3,""amount"":32},{""grocery"":4,""amount"":16}]}]}"
Pho,pho,쌀국수,"{""value"":[4,8,16,32,64]}",5,"{""value"":[3,3,3,3,3]}",Pho,"{""value"":[{""requiredGroceries"":[{""grocery"":0,""amount"":3},{""grocery"":5,""amount"":1},{""grocery"":7,""amount"":1}]},{""requiredGroceries"":[{""grocery"":0,""amount"":6},{""grocery"":5,""amount"":2},{""grocery"":7,""amount"":2}]},{""requiredGroceries"":[{""grocery"":0,""amount"":12},{""grocery"":5,""amount"":4},{""grocery"":7,""amount"":4}]},{""requiredGroceries"":[{""grocery"":0,""amount"":24},{""grocery"":5,""amount"":8},{""grocery"":7,""amount"":8}]},{""requiredGroceries"":[{""grocery"":0,""amount"":48},{""grocery"":5,""amount"":16},{""grocery"":7,""amount"":16}]}]}"
PotatoNoodle,potato_noodle,감자 국수,"{""value"":[4,8,16,32,64]}",5,"{""value"":[3,3,3,3,3]}",PotatoNoodle,"{""value"":[{""requiredGroceries"":[{""grocery"":2,""amount"":1},{""grocery"":1,""amount"":1},{""grocery"":6,""amount"":2}]},{""requiredGroceries"":[{""grocery"":2,""amount"":2},{""grocery"":1,""amount"":2},{""grocery"":6,""amount"":4}]},{""requiredGroceries"":[{""grocery"":2,""amount"":4},{""grocery"":1,""amount"":4},{""grocery"":6,""amount"":8}]},{""requiredGroceries"":[{""grocery"":2,""amount"":8},{""grocery"":1,""amount"":8},{""grocery"":6,""amount"":16}]},{""requiredGroceries"":[{""grocery"":2,""amount"":16},{""grocery"":1,""amount"":16},{""grocery"":6,""amount"":32}]}]}"
Sandwich,sandwich,반미 샌드위치,"{""value"":[4,8,16,32,64]}",5,"{""value"":[4,4,4,4,4]}",Sandwich,"{""value"":[{""requiredGroceries"":[{""grocery"":0,""amount"":2},{""grocery"":2,""amount"":2},{""grocery"":7,""amount"":1},{""grocery"":10,""amount"":1}]},{""requiredGroceries"":[{""grocery"":0,""amount"":4},{""grocery"":2,""amount"":4},{""grocery"":7,""amount"":2},{""grocery"":10,""amount"":2}]},{""requiredGroceries"":[{""grocery"":0,""amount"":8},{""grocery"":2,""amount"":8},{""grocery"":7,""amount"":4},{""grocery"":10,""amount"":4}]},{""requiredGroceries"":[{""grocery"":0,""amount"":16},{""grocery"":2,""amount"":16},{""grocery"":7,""amount"":8},{""grocery"":10,""amount"":8}]},{""requiredGroceries"":[{""grocery"":0,""amount"":32},{""grocery"":2,""amount"":32},{""grocery"":7,""amount"":16},{""grocery"":10,""amount"":16}]}]}"
Taco,taco,타코,"{""value"":[4,8,16,32,64]}",5,"{""value"":[4,4,4,4,4]}",Taco,"{""value"":[{""requiredGroceries"":[{""grocery"":4,""amount"":2},{""grocery"":8,""amount"":2},{""grocery"":9,""amount"":2}]},{""requiredGroceries"":[{""grocery"":4,""amount"":4},{""grocery"":8,""amount"":4},{""grocery"":9,""amount"":4}]},{""requiredGroceries"":[{""grocery"":4,""amount"":8},{""grocery"":8,""amount"":8},{""grocery"":9,""amount"":8}]},{""requiredGroceries"":[{""grocery"":4,""amount"":16},{""grocery"":8,""amount"":16},{""grocery"":9,""amount"":16}]},{""requiredGroceries"":[{""grocery"":4,""amount"":32},{""grocery"":8,""amount"":32},{""grocery"":9,""amount"":32}]}]}"
VegetableGimbap,vegetable_gimbap,야채 김밥,"{""value"":[4,8,16,32,64]}",5,"{""value"":[0,2,2,3,3]}",VegetableGimbap,"{""value"":[{""requiredGroceries"":[{""grocery"":0,""amount"":2},{""grocery"":1,""amount"":1}]},{""requiredGroceries"":[{""grocery"":0,""amount"":4},{""grocery"":1,""amount"":2}]},{""requiredGroceries"":[{""grocery"":0,""amount"":8},{""grocery"":1,""amount"":4}]},{""requiredGroceries"":[{""grocery"":0,""amount"":16},{""grocery"":1,""amount"":8}]},{""requiredGroceries"":[{""grocery"":0,""amount"":32},{""grocery"":1,""amount"":16}]}]}"
