ObjectName,id,displayName,employeeType,workType,cost,upgradeMultiplier
Cooker_1,Cooker_1,,Cooker_1,Cooker,0,1
Cooker_2,Cooker_2,,Cooker_2,Cooker,0,1
Cooker_3,Cooker_3,,Cooker_3,Cooker,0,1
Cooker_4,Cooker_4,,Cooker_4,Cooker,0,1
Harvester_1,Harvester_1,,Harvester_1,Harvester,0,1
Harvester_2,Harvester_2,,Harvester_2,Harvester,0,1
Harvester_3,Harvester_3,,Harvester_3,Harvester,0,1
Harvester_4,Harvester_4,,Harvester_4,Harvester,0,1
Server_1,Server_1,,Server_1,Server,0,1
Server_2,Server_2,,Server_2,Server,0,1
Server_3,Server_3,,Server_3,Server,0,1
Server_4,Server_4,,Server_4,Server,0,1
