ObjectName,id,displayName,employeeType,workType,maxLevel,description,level1Skill,level3Skill,level5Skill,level2Effect,level3Effect,level4Effect,level5Effect
Cooker_1,Cooker_1,막내셰프 보리,Cooker_1,Cooker,5,아직은 국자 쥐는 것도 어색한 막내 요리사. 언젠가 훌륭한 셰프가 될거야!,"{""skillName"":""-"",""description"":""-""}","{""skillName"":""뭐 드실지 다 압니다"",""description"":""대기 시 자동으로 손님에게 주문을 받아 요리 시작""}","{""skillName"":""금가루 좀 뿌려봤어요"",""description"":""50% 확률로 황금 요리, 먹은 손님의 팁 지불 확률 100% 증가""}",10%,20%,30%,40%
Cooker_2,Cooker_2,눈치백단 마요,Cooker_2,Cooker,5,손님이 주문을 하기도 전에 이미 요리를 만든다는 눈치백단 요리사. 대단해!,"{""skillName"":""뭐 드실지 다 압니다"",""description"":""대기 시 자동으로 손님에게 주문을 받아 요리 시작""}","{""skillName"":""꼭꼭 씹어드세요"",""description"":""50% 확률로 광속 요리, 먹은 손님의 식사 속도 30% 증가""}","{""skillName"":""금가루 좀 뿌려봤어요"",""description"":""50% 확률로 황금 요리, 먹은 손님의 팁 지불 확률 100% 증가""}",10%,20%,30%,40%
Cooker_3,Cooker_3,스타셰프 후추,Cooker_3,Cooker,5,전설의 요리사. 유일한 약점은 후추를 쓰는 요리. 재채기가 나와서일까?,"{""skillName"":""꼭꼭 씹어드세요"",""description"":""50% 확률로 광속 요리, 먹은 손님의 식사 속도 30% 증가""}","{""skillName"":""뭐 드실지 다 압니다"",""description"":""대기 시 자동으로 손님에게 주문을 받아 요리 시작""}","{""skillName"":""금가루 좀 뿌려봤어요"",""description"":""50% 확률로 황금 요리, 먹은 손님의 팁 지불 확률 100% 증가""}",10%,20%,30%,40%
Harvester_1,Harvester_1,밀짚모자 감자,Harvester_1,Harvester,5,귀에 딱 맞는 밀짚모자를 가지고 싶어하는 초보 농부. 하나 사줄까?,"{""skillName"":""-"",""description"":""-""}","{""skillName"":""싹 밀어버릴게요"",""description"":""[액티브] 회전톱 과부하 사용 가능""}","{""skillName"":""벼에서 고기를!"",""description"":""주 작물 수확 시 10% 확률로 같은 티어의 육류 1개 제공""}",5%,10%,15%,20%
Harvester_2,Harvester_2,고기좋아 호두,Harvester_2,Harvester,5,"분명히 당근을 캤는데 닭고기가 나오더라니까? 아니, 진짜라고!","{""skillName"":""풀만 먹을순 없으니까"",""description"":""야채 수확 시 10% 확률로 같은 티어의 육류 1개 제공""}","{""skillName"":""싹 밀어버릴게요"",""description"":""[액티브] 회전톱 과부하 사용 가능""}","{""skillName"":""한 번은 아쉬우니까"",""description"":""회전톱 과부하 사용 횟수 +1""}",5%,10%,15%,20%
Harvester_3,Harvester_3,짤랑짤랑 키키,Harvester_3,Harvester,5,오늘의 운세 : 땅을 파도 돈이 나올 정도로 재물운이 좋네요!,"{""skillName"":""땅 파면 돈 나오던데요"",""description"":""작물 20개 수확 시 골드 +10""}","{""skillName"":""브레이크가 고장났어요"",""description"":""[액티브] 트랙터 질주 사용 가능""}","{""skillName"":""엔진오일을 갈았어요"",""description"":""트랙터 질주 쿨타임 -50%""}",5%,10%,15%,20%
Server_1,Server_1,조심조심 루이,Server_1,Server,5,"서빙하다가 음식을 엎지를까봐 늘 조심조심. 긴장 백배 초보 웨이터, 귀엽다.","{""skillName"":""-"",""description"":""-""}","{""skillName"":""이쪽으로 모시겠습니다"",""description"":""대기 시 자동으로 손님에게 음식 서빙 또는 식당 사건 처리""}","{""skillName"":""숨도 안 쉬고 드시네요"",""description"":""응대한 손님의 식사 속도 50% 증가""}",10%,20%,30%,40%
Server_2,Server_2,로켓서빙 폴라,Server_2,Server,5,롤러 스케이트 타고 서빙하는 줄 알았어. - 어제 처음 방문한 손님의 리뷰,"{""skillName"":""축지법 좀 배웠습니다"",""description"":""기본 이동 속도 100% 증가""}","{""skillName"":""이쪽으로 모시겠습니다"",""description"":""대기 시 자동으로 손님에게 음식 서빙 또는 식당 사건 처리""}","{""skillName"":""숨도 안 쉬고 드시네요"",""description"":""응대한 손님의 식사 속도 50% 증가""}",10%,20%,30%,40%
Server_3,Server_3,홀지배인 아우,Server_3,Server,5,빈틈없는 서빙의 정석! 홀에서 일어나는 모든 일을 꿰뚫고 있어요.,"{""skillName"":""이쪽으로 모시겠습니다"",""description"":""대기 시 자동으로 손님에게 음식 서빙 또는 식당 사건 처리""}","{""skillName"":""제 손이 보이시나요"",""description"":""작업 처리 속도 100% 증가""}","{""skillName"":""잔돈은 제거 맞죠?"",""description"":""응대한 손님의 팁 지불 확률 100% 증가""}",10%,20%,30%,40%
Server_4,Server_4,먹방직관 판판,Server_4,Server,5,"5분 안에 다 먹으면 공짜! 여태 다 먹은 사람은 없었지만, 무전취식범은 많았죠.","{""skillName"":""숨도 안 쉬고 드시네요"",""description"":""응대한 손님의 식사 속도 50% 증가""}","{""skillName"":""축지법 좀 배웠습니다"",""description"":""기본 이동 속도 100% 증가""}","{""skillName"":""잔돈은 제거 맞죠?"",""description"":""응대한 손님의 팁 지불 확률 100% 증가""}",10%,20%,30%,40%
