ObjectName,id,displayName,facilityType,facilityCategory,maxLevel,level1Skill,level2Skill,level3Skill,level4Skill,level5Skill,solidPrefabs
Decoration_Data,Decoration,Decoration,Decor_1,Decor,5,"손님 수 1 증가","손님 수 1 증가","손님 수 1 증가","손님 수 1 증가","손님 수 1 증가",{}
DrinkBar_Data,DrinkBar,Drink Bar,Decor_2,Decor,3,"식사 후 확률적으로 손님이 200 골드 음료 구매","식사 후 확률적으로 손님이 500 골드 음료 구매","식사 후 확률적으로 손님이 800 골드 음료 구매",,,{}
Instrument_Data,Instrument,Instrument,Decor_3,Decor,1,"손님 식사 속도 30% 증가",,,,,{}
SignBoard_Data,SignBoard,Sign Board,Decor_4,Decor,3,"손님 수 3 증가","손님 수 3 증가","손님 수 3 증가",,,{}
StaffLeader_Data,StaffLeader,Staff Leader,Decor_5,Decor,3,"""[액티브] 서버의 이동 속도 100% 증가, 요리사의 조리 속도 100% 증가, 지속 시간 15초, 영업마다 2회 사용 가능""","""[액티브] 서버의 이동 속도 120% 증가, 요리사의 조리 속도 120% 증가, 지속 시간 20초, 영업마다 2회 사용 가능""","""[액티브] 서버의 이동 속도 150% 증가, 요리사의 조리 속도 150% 증가, 지속 시간 25초, 영업마다 2회 사용 가능""",,,{}
TipTable_Data,TipTable,Tip Table,Decor_6,Decor,1,"손님 퇴장 시 확률적으로 팁 지불",,,,,{}
Table_01_Data,TableFacility_01,Table01,Table_1,Table,5,,,"2인용 테이블로 업그레이드","팁 지불 확률 20% 증가","팁 지불 확률 20% 증가",{}
Table_02_Data,TableFacility_02,Table02,Table_2,Table,5,,"팁 지불 확률 10% 증가","2인용 테이블로 업그레이드","팁 지불 확률 20% 증가","팁 지불 확률 20% 증가",{}
Table_03_Data,TableFacility_03,Table03,Table_3,Table,5,,"팁 지불 확률 10% 증가","2인용 테이블로 업그레이드","팁 지불 확률 20% 증가","팁 지불 확률 20% 증가",{}
Table_04_Data,TableFacility_04,Table04,Table_4,Table,5,,"팁 지불 확률 10% 증가","2인용 테이블로 업그레이드","팁 지불 확률 20% 증가","팁 지불 확률 20% 증가",{}
Table_05_Data,TableFacility_05,Table05,Table_5,Table,5,,"팁 지불 확률 10% 증가","2인용 테이블로 업그레이드","팁 지불 확률 20% 증가","팁 지불 확률 20% 증가",{}
Table_06_Data,TableFacility_06,Table06,Table_6,Table,5,,"팁 지불 확률 10% 증가","2인용 테이블로 업그레이드","팁 지불 확률 20% 증가","팁 지불 확률 20% 증가",{}
Table_07_Data,TableFacility_07,Table07,Table_7,Table,5,,"팁 지불 확률 10% 증가","2인용 테이블로 업그레이드","팁 지불 확률 20% 증가","팁 지불 확률 20% 증가",{}
