ObjectName,id,displayName,requiredCosts,maxLevel,requiredMarketLevel,targetDish,requiredIngredients
CarrotSalad,carrot_salad,당근 샐러드,"{""value"": [10, 13, 16, 24, 49]}",5,"{""value"":[0,2,2,3,3]}",CarrotSalad,"{""value"":[{""requiredGroceries"":[{""grocery"":1,""amount"":2}]},{""requiredGroceries"":[{""grocery"":1,""amount"":8}]},{""requiredGroceries"":[{""grocery"":1,""amount"":32}]},{""requiredGroceries"":[{""grocery"":1,""amount"":128}]},{""requiredGroceries"":[{""grocery"":1,""amount"":512}]}]}"
VegetableGimbap,vegetable_gimbap,야채 김밥,"{""value"": [13, 16, 21, 32, 63]}",5,"{""value"":[1,2,2,3,3]}",VegetableGimbap,"{""value"":[{""requiredGroceries"":[{""grocery"":0,""amount"":2},{""grocery"":1,""amount"":1}]},{""requiredGroceries"":[{""grocery"":0,""amount"":8},{""grocery"":1,""amount"":4}]},{""requiredGroceries"":[{""grocery"":0,""amount"":32},{""grocery"":1,""amount"":16}]},{""requiredGroceries"":[{""grocery"":0,""amount"":128},{""grocery"":1,""amount"":64}]},{""requiredGroceries"":[{""grocery"":0,""amount"":512},{""grocery"":1,""amount"":256}]}]}"
ChickenPorridge,chicken_porridge,닭죽,"{""value"": [18, 23, 29, 44, 88]}",5,"{""value"":[1,2,2,3,3]}",ChickenPorridge,"{""value"":[{""requiredGroceries"":[{""grocery"":0,""amount"":1},{""grocery"":1,""amount"":1},{""grocery"":2,""amount"":1}]},{""requiredGroceries"":[{""grocery"":0,""amount"":4},{""grocery"":1,""amount"":4},{""grocery"":2,""amount"":4}]},{""requiredGroceries"":[{""grocery"":0,""amount"":16},{""grocery"":1,""amount"":16},{""grocery"":2,""amount"":16}]},{""requiredGroceries"":[{""grocery"":0,""amount"":64},{""grocery"":1,""amount"":64},{""grocery"":2,""amount"":64}]},{""requiredGroceries"":[{""grocery"":0,""amount"":256},{""grocery"":1,""amount"":256},{""grocery"":2,""amount"":256}]}]}"
FriedChicken,fried_chicken,후라이드 치킨,"{""value"": [28, 35, 46, 68, 137]}",5,"{""value"":[2,2,2,3,3]}",FriedChicken,"{""value"":[{""requiredGroceries"":[{""grocery"":2,""amount"":2},{""grocery"":3,""amount"":1}]},{""requiredGroceries"":[{""grocery"":2,""amount"":8},{""grocery"":3,""amount"":4}]},{""requiredGroceries"":[{""grocery"":2,""amount"":32},{""grocery"":3,""amount"":16}]},{""requiredGroceries"":[{""grocery"":2,""amount"":128},{""grocery"":3,""amount"":64}]},{""requiredGroceries"":[{""grocery"":2,""amount"":512},{""grocery"":3,""amount"":256}]}]}"
MeatCurry,meat_curry,소고기 카레,"{""value"": [30, 38, 49, 73, 146]}",5,"{""value"":[2,2,2,3,3]}",MeatCurry,"{""value"":[{""requiredGroceries"":[{""grocery"":0,""amount"":2},{""grocery"":4,""amount"":1},{""grocery"":5,""amount"":1}]},{""requiredGroceries"":[{""grocery"":0,""amount"":8},{""grocery"":4,""amount"":4},{""grocery"":5,""amount"":4}]},{""requiredGroceries"":[{""grocery"":0,""amount"":32},{""grocery"":4,""amount"":16},{""grocery"":5,""amount"":16}]},{""requiredGroceries"":[{""grocery"":0,""amount"":128},{""grocery"":4,""amount"":64},{""grocery"":5,""amount"":64}]},{""requiredGroceries"":[{""grocery"":0,""amount"":512},{""grocery"":4,""amount"":256},{""grocery"":5,""amount"":256}]}]}"
Meatloaf,meatloaf,미트로프,"{""value"": [36, 45, 59, 88, 176]}",5,"{""value"":[2,2,2,3,3]}",Meatloaf,"{""value"":[{""requiredGroceries"":[{""grocery"":1,""amount"":2},{""grocery"":3,""amount"":2},{""grocery"":5,""amount"":1}]},{""requiredGroceries"":[{""grocery"":1,""amount"":8},{""grocery"":3,""amount"":8},{""grocery"":5,""amount"":4}]},{""requiredGroceries"":[{""grocery"":1,""amount"":32},{""grocery"":3,""amount"":32},{""grocery"":5,""amount"":16}]},{""requiredGroceries"":[{""grocery"":1,""amount"":128},{""grocery"":3,""amount"":128},{""grocery"":5,""amount"":64}]},{""requiredGroceries"":[{""grocery"":1,""amount"":512},{""grocery"":3,""amount"":512},{""grocery"":5,""amount"":256}]}]}"
OnionBagel,onion_bagel,양파 베이글,"{""value"": [24, 30, 39, 59, 117]}",5,"{""value"":[2,2,2,3,3]}",OnionBagel,"{""value"":[{""requiredGroceries"":[{""grocery"":3,""amount"":2},{""grocery"":4,""amount"":1}]},{""requiredGroceries"":[{""grocery"":3,""amount"":8},{""grocery"":4,""amount"":4}]},{""requiredGroceries"":[{""grocery"":3,""amount"":32},{""grocery"":4,""amount"":16}]},{""requiredGroceries"":[{""grocery"":3,""amount"":128},{""grocery"":4,""amount"":64}]},{""requiredGroceries"":[{""grocery"":3,""amount"":512},{""grocery"":4,""amount"":256}]}]}"
LambPie,lamb_pie,양고기 파이,"{""value"": [40, 50, 65, 98, 195]}",5,"{""value"":[3,3,3,3,3]}",LambPie,"{""value"":[{""requiredGroceries"":[{""grocery"":3,""amount"":2},{""grocery"":6,""amount"":1},{""grocery"":8,""amount"":1}]},{""requiredGroceries"":[{""grocery"":3,""amount"":8},{""grocery"":6,""amount"":4},{""grocery"":8,""amount"":4}]},{""requiredGroceries"":[{""grocery"":3,""amount"":32},{""grocery"":6,""amount"":16},{""grocery"":8,""amount"":16}]},{""requiredGroceries"":[{""grocery"":3,""amount"":128},{""grocery"":6,""amount"":64},{""grocery"":8,""amount"":64}]},{""requiredGroceries"":[{""grocery"":3,""amount"":512},{""grocery"":6,""amount"":256},{""grocery"":8,""amount"":256}]}]}"
LambSoup,lamb_soup,양고기 스프,"{""value"": [52, 65, 85, 127, 254]}",5,"{""value"":[3,3,3,3,3]}",LambSoup,"{""value"":[{""requiredGroceries"":[{""grocery"":4,""amount"":1},{""grocery"":6,""amount"":1},{""grocery"":7,""amount"":1},{""grocery"":8,""amount"":1}]},{""requiredGroceries"":[{""grocery"":4,""amount"":4},{""grocery"":6,""amount"":4},{""grocery"":7,""amount"":4},{""grocery"":8,""amount"":4}]},{""requiredGroceries"":[{""grocery"":4,""amount"":16},{""grocery"":6,""amount"":16},{""grocery"":7,""amount"":16},{""grocery"":8,""amount"":16}]},{""requiredGroceries"":[{""grocery"":4,""amount"":64},{""grocery"":6,""amount"":64},{""grocery"":7,""amount"":64},{""grocery"":8,""amount"":64}]},{""requiredGroceries"":[{""grocery"":4,""amount"":256},{""grocery"":6,""amount"":256},{""grocery"":7,""amount"":256},{""grocery"":8,""amount"":256}]}]}"
Pho,pho,쌀국수,"{""value"": [42, 53, 68, 102, 205]}",5,"{""value"":[3,3,3,3,3]}",Pho,"{""value"":[{""requiredGroceries"":[{""grocery"":0,""amount"":3},{""grocery"":5,""amount"":1},{""grocery"":7,""amount"":1}]},{""requiredGroceries"":[{""grocery"":0,""amount"":12},{""grocery"":5,""amount"":4},{""grocery"":7,""amount"":4}]},{""requiredGroceries"":[{""grocery"":0,""amount"":48},{""grocery"":5,""amount"":16},{""grocery"":7,""amount"":16}]},{""requiredGroceries"":[{""grocery"":0,""amount"":192},{""grocery"":5,""amount"":64},{""grocery"":7,""amount"":64}]},{""requiredGroceries"":[{""grocery"":0,""amount"":768},{""grocery"":5,""amount"":256},{""grocery"":7,""amount"":256}]}]}"
