ObjectName,id,displayName,requiredCosts,maxLevel,requiredMarketLevel,targetEmployee
Cooker_1,employee_cooker_1,Cooker_1,"{""value"":[0,250,750,1500,3000]}",5,"{""value"":[0,2,2,4,4]}",Cooker_1
Cooker_2,employee_cooker_2,Cooker_2,"{""value"":[150,250,750,1500,3000]}",5,"{""value"":[2,2,2,4,4]}",Cooker_2
Cooker_3,employee_cooker_3,Cooker_3,"{""value"":[450,250,750,1500,3000]}",5,"{""value"":[3,3,3,4,4]}",Cooker_3
Harvester_1,employee_harvester_1,Harvester_1,"{""value"":[100,150,500,1500,3000]}",5,"{""value"":[1,2,2,4,4]}",Harvester_1
Harvester_2,employee_harvester_2,Harvester_2,"{""value"":[450,150,500,1500,3000]}",5,"{""value"":[2,2,2,4,4]}",Harvester_2
Harvester_3,employee_harvester_3,Harvester_3,"{""value"":[900,150,500,1500,3000]}",5,"{""value"":[3,3,3,4,4]}",Harvester_3
Server_1,employee_server_1,Server_1,"{""value"":[0,100,300,1000,2000]}",5,"{""value"":[0,2,2,4,4]}",Server_1
Server_2,employee_server_2,Server_2,"{""value"":[100,100,300,1000,2000]}",5,"{""value"":[2,2,2,4,4]}",Server_2
Server_3,employee_server_3,Server_3,"{""value"":[350,100,300,1000,2000]}",5,"{""value"":[3,3,3,4,4]}",Server_3
Server_4,employee_server_4,Server_4,"{""value"":[800,100,300,1000,2000]}",5,"{""value"":[4,4,4,4,4]}",Server_4
