ObjectName,id,displayName,requiredCosts,maxLevel,requiredMarketLevel,targetFacility,serviceStatModifiers
Decoration_UpdataData,Decoration,Decoration,"{""value"":[200,300,500,1000,2500]}",5,"{""value"":[2,2,2,3,4]}",Decor_1,{}
DrinkBar_UpgradeData,DrinkBar,Drink Bar,"{""value"":[500,2000,5000]}",3,"{""value"":[4,4,4]}",Decor_2,{}
Instrument_UpgradeData,Instrument,Instrument,"{""value"":[8000]}",1,"{""value"":[4]}",Decor_3,{}
SignBoard_UpgradeData,SignBoard,Sign Board,"{""value"":[700,1000,5000]}",3,"{""value"":[3,3,4]}",Decor_4,{}
StaffLeader_UpgradeData,StaffLeader,Staff Leader,"{""value"":[200,800,3000]}",3,"{""value"":[2,3,4]}",Decor_5,{}
TipTable_UpgradeData,TipTable,Tip Table,"{""value"":[200]}",1,"{""value"":[2]}",Decor_6,{}
Table_01_UpgradeData,Table_01,Table01,"{""value"":[0,0,0,1500,3000]}",5,"{""value"":[0,0,0,4,4]}",Table_1,{}
Table_02_UpgradeData,Table_02,Table02,"{""value"":[0,200,300,1500,3000]}",5,"{""value"":[0,2,2,4,4]}",Table_2,{}
Table_03_UpgradeData,Table_03,Table03,"{""value"":[250,200,300,1500,3000]}",5,"{""value"":[2,2,2,4,4]}",Table_3,{}
Table_04_UpgradeData,Table_04,Table04,"{""value"":[500,200,300,1500,3000]}",5,"{""value"":[3,3,3,4,4]}",Table_4,{}
Table_05_UpgradeData,Table_05,Table05,"{""value"":[700,200,300,1500,3000]}",5,"{""value"":[3,3,3,4,4]}",Table_5,{}
Table_06_UpgradeData,Table_06,Table06,"{""value"":[1000,200,300,1500,3000]}",5,"{""value"":[4,4,4,4,4]}",Table_6,{}
Table_07_UpgradeData,Table_07,Table07,"{""value"":[3000,200,300,1500,3000]}",5,"{""value"":[4,4,4,4,4]}",Table_7,{}
